variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1572944,4767054,175.728299,41.123992,11033,1.232600,0,0,0,0,0.000000,0
Add_widened,8951,2416529,6161354,269.973076,63.179184,23219,2.594012,0,0,0,0,0.000000,0
Cancel_traversal,30058,4960388,23900043,165.027214,38.619721,741,0.024652,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4701430,23841242,156.411937,36.603571,3452,0.114845,0,0,0,0,0.000000,0
Reduce_traversal,30058,2188282,8817309,72.801983,17.037143,2515,0.083672,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2324119,8849837,77.321146,18.094719,3078,0.102402,0,0,0,0,0.000000,0
Replace_traversal,30058,14787995,44162668,491.982001,115.133783,7944,0.264289,0,0,0,0,0.000000,0
Replace_shuffled,30058,14363861,42045519,477.871482,111.831634,7832,0.260563,0,0,0,0,0.000000,0
