variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1630647,4762552,182.174841,42.476370,11025,1.231706,0,0,0,0,0.000000,0
Add_widened,8951,2556893,6183529,285.654452,66.603951,22469,2.510222,0,0,0,0,0.000000,0
Cancel_traversal,30058,5032693,23895609,167.432730,39.039060,758,0.025218,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4769635,23847537,158.681050,36.998495,3203,0.106561,0,0,0,0,0.000000,0
Reduce_traversal,30058,2205665,8813295,73.380298,17.109545,6087,0.202508,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2379329,8849407,79.157928,18.456673,5885,0.195788,0,0,0,0,0.000000,0
Replace_traversal,30058,15528002,44154516,516.601304,120.452133,8912,0.296493,0,0,0,0,0.000000,0
Replace_shuffled,30058,14524754,42042012,483.224233,112.669847,8755,0.291270,0,0,0,0,0.000000,0
