variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2255154,7922803,251.944364,57.831735,21551,2.407664,0,0,0,0,0.000000,0
Add_widened,8951,3627319,9387333,405.241761,93.019879,25724,2.873869,0,0,0,0,0.000000,0
Cancel_traversal,30058,5119141,25463658,170.308770,39.092963,3809,0.126722,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5007307,25409591,166.588163,38.238929,5272,0.175394,0,0,0,0,0.000000,0
Reduce_traversal,30058,2272891,8899487,75.616841,17.357218,3880,0.129084,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2468661,8932093,82.129915,18.852240,4240,0.141061,0,0,0,0,0.000000,0
Replace_traversal,30058,15735037,48964354,523.489154,120.162586,18098,0.602103,0,0,0,0,0.000000,0
Replace_shuffled,30058,15142121,45867575,503.763424,115.634708,25351,0.843403,0,0,0,0,0.000000,0
