variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1613678,4768635,180.279075,42.486902,10940,1.222210,0,0,0,0,0.000000,0
Add_widened,8951,2679226,6321340,299.321417,70.541962,23669,2.644286,0,0,0,0,0.000000,0
Cancel_traversal,30058,4950028,23893357,164.682547,38.811222,614,0.020427,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4766087,23849507,158.563012,37.369013,2883,0.095915,0,0,0,0,0.000000,0
Reduce_traversal,30058,2174946,8814399,72.358307,17.052896,2916,0.097012,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2337203,8850497,77.756438,18.325089,3326,0.110653,0,0,0,0,0.000000,0
Replace_traversal,30058,14807159,44154052,492.619569,116.097108,6663,0.221671,0,0,0,0,0.000000,0
Replace_shuffled,30058,14434196,42041067,480.211458,113.172852,6426,0.213787,0,0,0,0,0.000000,0
