variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2393555,7977316,267.406435,62.231020,21867,2.442967,0,0,0,0,0.000000,0
Add_widened,8951,3676498,9270448,410.736007,95.586782,25977,2.902134,0,0,0,0,0.000000,0
Cancel_traversal,30058,5250168,25468427,174.667909,40.648842,5787,0.192528,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5048472,25416872,167.957682,39.087234,7391,0.245891,0,0,0,0,0.000000,0
Reduce_traversal,30058,2301790,8895587,76.578282,17.821353,6997,0.232783,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2498877,8931772,83.135172,19.347278,4686,0.155899,0,0,0,0,0.000000,0
Replace_traversal,30058,16142783,48936525,537.054461,124.983704,22037,0.733149,0,0,0,0,0.000000,0
Replace_shuffled,30058,15626460,45816618,519.876905,120.986130,30622,1.018764,0,0,0,0,0.000000,0
