variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2706168,9400801,302.331360,72.169464,17271,1.929505,0,0,0,0,0.000000,0
Add_widened,8951,2784170,6923729,311.045693,74.249661,23599,2.636465,0,0,0,0,0.000000,0
Cancel_traversal,30058,4754322,23622126,158.171602,37.757114,1162,0.038659,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4712072,23976748,156.765986,37.421580,1874,0.062346,0,0,0,0,0.000000,0
Reduce_traversal,30058,2393493,9123056,79.629150,19.008260,3967,0.131978,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2580278,9164421,85.843303,20.491639,4071,0.135438,0,0,0,0,0.000000,0
Replace_traversal,30058,15049324,44607791,500.676159,119.516315,8621,0.286812,0,0,0,0,0.000000,0
Replace_shuffled,30058,14579696,42512712,485.052099,115.786698,9593,0.319150,0,0,0,0,0.000000,0
