variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2258820,7925356,252.353927,58.767264,21425,2.393587,0,0,0,0,0.000000,0
Add_widened,8951,3568245,9232927,398.642051,92.834310,25429,2.840912,0,0,0,0,0.000000,0
Cancel_traversal,30058,5189723,25462754,172.656963,40.207725,5920,0.196953,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5000405,25406968,166.358540,38.740971,7518,0.250116,0,0,0,0,0.000000,0
Reduce_traversal,30058,2298234,8896896,76.459977,17.805721,5751,0.191330,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2464457,8933066,81.990053,19.093545,4719,0.156996,0,0,0,0,0.000000,0
Replace_traversal,30058,15878859,48951828,528.273970,123.022519,24440,0.813095,0,0,0,0,0.000000,0
Replace_shuffled,30058,15272949,45863295,508.115943,118.328191,31164,1.036796,0,0,0,0,0.000000,0
