variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2782785,8092836,310.891,70.267,0
Add_widened,8951,5637797,12805092,629.851,142.358,0
Cancel_traversal,30058,7644822,36892310,254.336,57.4844,0
Cancel_shuffled,30058,7657401,36935981,254.754,57.579,0
Reduce_traversal,30058,2368496,9097045,78.7975,17.8097,0
Reduce_shuffled,30058,2483020,9129070,82.6076,18.6708,0
Replace_traversal,30058,20860760,69998035,694.017,156.86,0
Replace_shuffled,30058,20230615,69324884,673.053,152.122,0
