variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1572388,4767988,175.666183,40.464233,11126,1.242990,0,0,0,0,0.000000,0
Add_widened,8951,2459548,6165105,274.779131,63.294634,22842,2.551894,0,0,0,0,0.000000,0
Cancel_traversal,30058,4946482,23892316,164.564575,37.907007,1483,0.049338,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4795092,23847341,159.527979,36.746841,6103,0.203041,0,0,0,0,0.000000,0
Reduce_traversal,30058,2222047,8814643,73.925311,17.028497,5486,0.182514,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2348582,8850755,78.135006,17.998189,4602,0.153104,0,0,0,0,0.000000,0
Replace_traversal,30058,14975442,44159355,498.218178,114.763218,9556,0.317919,0,0,0,0,0.000000,0
Replace_shuffled,30058,14574069,42046306,484.864895,111.687325,9263,0.308171,0,0,0,0,0.000000,0
