variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2317181,7945450,258.873981,59.899226,20836,2.327785,0,0,0,0,0.000000,0
Add_widened,8951,3581302,9268992,400.100771,92.576807,25527,2.851860,0,0,0,0,0.000000,0
Cancel_traversal,30058,5193112,25461095,172.769712,39.976099,4672,0.155433,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5039182,25406478,167.648613,38.791160,9711,0.323075,0,0,0,0,0.000000,0
Reduce_traversal,30058,2256295,8896006,75.064708,17.368752,4875,0.162186,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2483018,8936929,82.607559,19.114045,7117,0.236776,0,0,0,0,0.000000,0
Replace_traversal,30058,15848206,48963992,527.254175,121.998035,19092,0.635172,0,0,0,0,0.000000,0
Replace_shuffled,30058,15293748,45861995,508.807905,117.729868,31070,1.033668,0,0,0,0,0.000000,0
