variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1741115,4934467,194.516255,45.431912,11583,1.294045,0,0,0,0,0.000000,0
Add_widened,8951,2444911,6162943,273.143895,63.796464,22843,2.552005,0,0,0,0,0.000000,0
Cancel_traversal,30058,4883755,23893825,162.477710,37.948875,608,0.020228,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4792742,23845987,159.449797,37.241665,2512,0.083572,0,0,0,0,0.000000,0
Reduce_traversal,30058,2158079,8815301,71.797159,16.769201,2877,0.095715,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2314827,8851423,77.012010,17.987200,3197,0.106361,0,0,0,0,0.000000,0
Replace_traversal,30058,14867427,44154971,494.624626,115.526296,6558,0.218178,0,0,0,0,0.000000,0
Replace_shuffled,30058,14556467,42041981,484.279293,113.110003,6037,0.200845,0,0,0,0,0.000000,0
