variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2267613,7922339,253.336275,58.947997,20978,2.343649,0,0,0,0,0.000000,0
Add_widened,8951,3556694,9394969,397.351581,92.458451,25288,2.825159,0,0,0,0,0.000000,0
Cancel_traversal,30058,5780009,25458953,192.295196,44.744546,2892,0.096214,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5594228,25407225,186.114445,43.306367,5795,0.192794,0,0,0,0,0.000000,0
Reduce_traversal,30058,2233284,8895888,74.299155,17.288429,3221,0.107159,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2450060,8932059,81.511079,18.966549,3271,0.108823,0,0,0,0,0.000000,0
Replace_traversal,30058,16483698,48968278,548.396367,127.604573,19584,0.651540,0,0,0,0,0.000000,0
Replace_shuffled,30058,15839764,45866047,526.973318,122.619713,24736,0.822942,0,0,0,0,0.000000,0
