variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2678468,9403542,299.236733,71.106828,17425,1.946710,0,0,0,0,0.000000,0
Add_widened,8951,2775422,6934629,310.068372,73.680721,23677,2.645179,0,0,0,0,0.000000,0
Cancel_traversal,30058,5002284,24030676,166.421053,39.546191,1171,0.038958,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4693488,23976928,156.147714,37.104965,4835,0.160856,0,0,0,0,0.000000,0
Reduce_traversal,30058,2387434,9123260,79.427573,18.874163,6834,0.227360,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2551074,9159320,84.871715,20.167839,7451,0.247887,0,0,0,0,0.000000,0
Replace_traversal,30058,14989629,44611414,498.690166,118.502415,12475,0.415031,0,0,0,0,0.000000,0
Replace_shuffled,30058,14600664,42520097,485.749684,115.427403,14212,0.472819,0,0,0,0,0.000000,0
