variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2309342,7896508,257.998,123.565,0
Add_widened,8951,5370970,12488348,600.041,287.383,0
Cancel_traversal,30058,7341944,36322570,244.259,116.985,0
Cancel_shuffled,30058,7462894,36214571,248.283,118.912,0
Reduce_traversal,30058,2322281,9201043,77.26,37.0028,0
Reduce_shuffled,30058,2542127,9240463,84.5741,40.5058,0
Replace_traversal,30058,18924985,67294459,629.616,301.547,0
Replace_shuffled,30058,18183657,66718513,604.952,289.735,0
