variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2751628,8103603,307.41,69.9157,0
Add_widened,8951,5478789,12884521,612.087,139.21,0
Cancel_traversal,30058,7527255,36889224,250.424,56.9551,0
Cancel_shuffled,30058,7529968,36934153,250.515,56.9757,0
Reduce_traversal,30058,2357449,9093870,78.43,17.8377,0
Reduce_shuffled,30058,2487125,9130048,82.7442,18.8189,0
Replace_traversal,30058,20744107,69996226,690.136,156.961,0
Replace_shuffled,30058,20252257,69333755,673.773,153.239,0
