variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2436475,7976776,272.201430,64.240528,22288,2.490001,0,0,0,0,0.000000,0
Add_widened,8951,3770171,9271458,421.201095,99.404991,25829,2.885599,0,0,0,0,0.000000,0
Cancel_traversal,30058,5176223,25474132,172.207832,40.641675,5353,0.178089,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5093125,25427237,169.443243,39.989222,7657,0.254741,0,0,0,0,0.000000,0
Reduce_traversal,30058,2311481,8895865,76.900692,18.148843,6438,0.214186,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2473942,8932036,82.305609,19.424423,5539,0.184277,0,0,0,0,0.000000,0
Replace_traversal,30058,16527033,48882515,549.838080,129.763787,22261,0.740602,0,0,0,0,0.000000,0
Replace_shuffled,30058,16291466,45829989,542.000998,127.914207,31905,1.061448,0,0,0,0,0.000000,1
