variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2314388,7784175,258.562,59.0368,0
Add_widened,8951,4796845,12398689,535.9,122.361,0
Cancel_traversal,30058,6882333,35711656,228.968,52.2798,0
Cancel_shuffled,30058,6962818,35658964,231.646,52.8912,0
Reduce_traversal,30058,2443753,9202099,81.3013,18.5633,0
Reduce_shuffled,30058,2563707,9234941,85.292,19.4745,0
Replace_traversal,30058,19739874,67256050,656.726,149.949,0
Replace_shuffled,30058,19006091,66638458,632.314,144.375,0
