variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2790393,8135859,311.741,70.9342,0
Add_widened,8951,5371212,12932659,600.068,136.541,0
Cancel_traversal,30058,7464584,36885432,248.339,56.5077,0
Cancel_shuffled,30058,7563938,36937359,251.645,57.2598,0
Reduce_traversal,30058,2322893,9091639,77.2804,17.5845,0
Reduce_shuffled,30058,2485656,9127841,82.6953,18.8167,0
Replace_traversal,30058,20740708,69991945,690.023,157.009,0
Replace_shuffled,30058,20181821,69326375,671.429,152.778,0
