variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1605022,4772611,179.312032,41.543871,11135,1.243995,0,0,0,0,0.000000,0
Add_widened,8951,2457706,6164263,274.573344,63.614468,22648,2.530220,0,0,0,0,0.000000,0
Cancel_traversal,30058,5087827,23892322,169.266984,39.216586,694,0.023089,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4723881,23841624,157.158860,36.411317,3193,0.106228,0,0,0,0,0.000000,0
Reduce_traversal,30058,2178420,8814097,72.473884,16.791097,3078,0.102402,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2337441,8850215,77.764356,18.016818,3420,0.113780,0,0,0,0,0.000000,0
Replace_traversal,30058,14945258,44153638,497.213986,115.196918,7781,0.258866,0,0,0,0,0.000000,0
Replace_shuffled,30058,14532709,42045795,483.488888,112.017022,8278,0.275401,0,0,0,0,0.000000,0
