variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1599019,4767325,178.641381,41.122942,10747,1.200648,0,0,0,0,0.000000,0
Add_widened,8951,2493217,6161770,278.540610,64.119574,23148,2.586080,0,0,0,0,0.000000,0
Cancel_traversal,30058,5010393,23893740,166.690831,38.371946,786,0.026149,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4753806,23842384,158.154435,36.406882,3443,0.114545,0,0,0,0,0.000000,0
Reduce_traversal,30058,2173489,8814849,72.309834,16.645601,2208,0.073458,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2320228,8850965,77.191696,17.769397,2331,0.077550,0,0,0,0,0.000000,0
Replace_traversal,30058,14946045,44154519,497.240169,114.463841,6829,0.227194,0,0,0,0,0.000000,0
Replace_shuffled,30058,14508481,42041533,482.682846,111.112770,6837,0.227460,0,0,0,0,0.000000,0
