variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2876164,8105494,321.323,73.1166,0
Add_widened,8951,5519024,12880963,616.582,140.302,0
Cancel_traversal,30058,7374018,36885768,245.326,55.8236,0
Cancel_shuffled,30058,7513447,36932337,249.965,56.8791,0
Reduce_traversal,30058,2343205,9092001,77.9561,17.7388,0
Reduce_shuffled,30058,2467841,9128169,82.1026,18.6823,0
Replace_traversal,30058,20756209,69987163,690.539,157.131,0
Replace_shuffled,30058,20195205,69321407,671.875,152.884,0
