variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2788558,8166948,311.536,70.4505,0
Add_widened,8951,5372363,12974424,600.197,135.728,0
Cancel_traversal,30058,7232594,36853735,240.621,54.4139,0
Cancel_shuffled,30058,7364672,36905096,245.015,55.4076,0
Reduce_traversal,30058,2321164,9091917,77.2228,17.4631,0
Reduce_shuffled,30058,2530468,9128085,84.1862,19.0378,0
Replace_traversal,30058,20728015,70138381,689.601,155.946,0
Replace_shuffled,30058,20173144,69333757,671.141,151.771,0
