variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2630305,9402939,293.855994,69.832368,17280,1.930511,0,0,0,0,0.000000,0
Add_widened,8951,2770998,6935168,309.574126,73.567648,24243,2.708412,0,0,0,0,0.000000,0
Cancel_traversal,30058,4976740,24040389,165.571229,39.346589,1981,0.065906,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4743006,23978656,157.795129,37.498665,10506,0.349524,0,0,0,0,0.000000,0
Reduce_traversal,30058,2342402,9125027,77.929403,18.519257,8502,0.282853,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2603573,9170469,86.618305,20.584100,11617,0.386486,0,0,0,0,0.000000,0
Replace_traversal,30058,14851085,44614025,494.080944,117.414118,13791,0.458813,0,0,0,0,0.000000,0
Replace_shuffled,30058,14518743,42519031,483.024253,114.786589,18140,0.603500,0,0,0,0,0.000000,0
