variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2212244,7756387,247.15,56.8197,0
Add_widened,8951,4828549,12559671,539.442,124.017,0
Cancel_traversal,30058,7069996,35693416,235.212,54.075,0
Cancel_shuffled,30058,7196570,35642516,239.423,55.0431,0
Reduce_traversal,30058,2437274,9203404,81.0857,18.6415,0
Reduce_shuffled,30058,2548667,9235092,84.7916,19.4935,0
Replace_traversal,30058,18901563,67196210,628.836,144.569,0
Replace_shuffled,30058,18240820,66642616,606.854,139.515,0
