variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2325890,7976695,259.846944,59.132185,22351,2.497039,0,0,0,0,0.000000,0
Add_widened,8951,3616836,9421843,404.070607,91.952507,26376,2.946710,0,0,0,0,0.000000,0
Cancel_traversal,30058,5213492,25468689,173.447734,39.470711,5889,0.195921,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5104602,25422147,169.825072,38.646318,7770,0.258500,0,0,0,0,0.000000,0
Reduce_traversal,30058,2322691,8895841,77.273638,17.584810,7277,0.242099,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2462339,8932022,81.919589,18.642068,5458,0.181582,0,0,0,0,0.000000,0
Replace_traversal,30058,15832694,48941942,526.738106,119.867391,22915,0.762359,0,0,0,0,0.000000,0
Replace_shuffled,30058,15282924,45816872,508.447801,115.705150,31328,1.042252,0,0,0,0,0.000000,0
