variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1609200,4770141,179.778796,42.309082,10909,1.218747,0,0,0,0,0.000000,0
Add_widened,8951,2458694,6158452,274.683722,64.643976,22611,2.526086,0,0,0,0,0.000000,0
Cancel_traversal,30058,4998980,23891955,166.311132,39.139607,2207,0.073425,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4754891,23841078,158.190532,37.228507,4656,0.154901,0,0,0,0,0.000000,0
Reduce_traversal,30058,2188526,8813697,72.810100,17.135105,5286,0.175860,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2355639,8849793,78.369785,18.443519,4564,0.151840,0,0,0,0,0.000000,0
Replace_traversal,30058,15069219,44153215,501.338046,117.984730,13612,0.452858,0,0,0,0,0.000000,0
Replace_shuffled,30058,14628251,42040233,486.667476,114.532162,11161,0.371315,0,0,0,0,0.000000,0
