variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2272459,7928368,253.877667,58.268489,20902,2.335158,0,0,0,0,0.000000,0
Add_widened,8951,3612127,9403142,403.544520,92.619134,25884,2.891744,0,0,0,0,0.000000,0
Cancel_traversal,30058,5169075,25462894,171.970025,39.469535,5428,0.180584,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5054060,25409932,168.143589,38.591315,9783,0.325471,0,0,0,0,0.000000,0
Reduce_traversal,30058,2294004,8896317,76.319249,17.516339,5276,0.175527,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2478343,8932470,82.452026,18.923898,5009,0.166644,0,0,0,0,0.000000,0
Replace_traversal,30058,15727478,48914002,523.237674,120.090393,22372,0.744294,0,0,0,0,0.000000,0
Replace_shuffled,30058,15154048,45867552,504.160224,115.711850,30899,1.027979,0,0,0,0,0.000000,0
