variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2310510,7950469,258.128701,60.173489,20791,2.322757,0,0,0,0,0.000000,0
Add_widened,8951,3485892,9253475,389.441627,90.784409,25883,2.891632,0,0,0,0,0.000000,0
Cancel_traversal,30058,5346935,25458914,177.887251,41.468060,4239,0.141027,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5024002,25405726,167.143589,38.963559,6849,0.227859,0,0,0,0,0.000000,0
Reduce_traversal,30058,2269915,8903226,75.517832,17.604286,3671,0.122131,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2457864,8936343,81.770710,19.061921,2776,0.092355,0,0,0,0,0.000000,0
Replace_traversal,30058,15859497,48979332,527.629816,122.998050,20739,0.689966,0,0,0,0,0.000000,0
Replace_shuffled,30058,15215830,45861940,506.215650,118.006102,27106,0.901790,0,0,0,0,0.000000,0
