variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1589914,4768272,177.624176,41.328638,11092,1.239191,0,0,0,0,0.000000,0
Add_widened,8951,2495437,6162442,278.788627,64.867039,23259,2.598481,0,0,0,0,0.000000,0
Cancel_traversal,30058,4952540,23892704,164.766119,38.336895,1350,0.044913,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4740337,23841336,157.706334,36.694262,5570,0.185308,0,0,0,0,0.000000,0
Reduce_traversal,30058,2175357,8813809,72.371981,16.839123,3078,0.102402,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2349428,8849935,78.163151,18.186582,3883,0.129184,0,0,0,0,0.000000,0
Replace_traversal,30058,14833330,44157629,493.490252,114.822659,9040,0.300752,0,0,0,0,0.000000,0
Replace_shuffled,30058,14437545,42040505,480.322876,111.758945,9596,0.319249,0,0,0,0,0.000000,0
