variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2241215,7793002,250.387,58.2062,0
Add_widened,8951,4723335,12345957,527.688,122.669,0
Cancel_traversal,30058,7019893,35710452,233.545,54.2909,0
Cancel_shuffled,30058,7177841,35665215,238.8,55.5125,0
Reduce_traversal,30058,2406632,9201711,80.0663,18.6126,0
Reduce_shuffled,30058,2539104,9238889,84.4735,19.6371,0
Replace_traversal,30058,19114384,67259422,635.917,147.828,0
Replace_shuffled,30058,18516765,66640508,616.034,143.206,0
