variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1607294,4752955,179.565859,41.950085,11278,1.259971,0,0,0,0,0.000000,0
Add_widened,8951,2531010,6173955,282.762820,66.058907,23238,2.596135,0,0,0,0,0.000000,0
Cancel_traversal,30058,5032158,23900279,167.414931,39.111392,713,0.023721,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4775424,23845872,158.873644,37.115980,2991,0.099508,0,0,0,0,0.000000,0
Reduce_traversal,30058,2215425,8816771,73.705004,17.218926,4456,0.148247,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2334616,8852859,77.670371,18.145313,4278,0.142325,0,0,0,0,0.000000,0
Replace_traversal,30058,14795889,44162422,492.244627,114.997941,8108,0.269745,0,0,0,0,0.000000,0
Replace_shuffled,30058,14416905,42044808,479.636203,112.052367,8155,0.271309,0,0,0,0,0.000000,0
