variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2825291,8145456,315.64,71.7865,0
Add_widened,8951,5398214,12801647,603.085,137.161,0
Cancel_traversal,30058,7695747,36860261,256.03,58.2293,0
Cancel_shuffled,30058,7904154,36911619,262.963,59.8062,0
Reduce_traversal,30058,2341698,9091732,77.906,17.7183,0
Reduce_shuffled,30058,2493327,9132366,82.9505,18.8656,0
Replace_traversal,30058,20922507,70059737,696.071,158.309,0
Replace_shuffled,30058,20239703,69230392,673.355,153.142,0
