variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1570871,4762456,175.496704,40.958123,11398,1.273377,0,0,0,0,0.000000,0
Add_widened,8951,2465569,6183979,275.451793,64.286041,22737,2.540163,0,0,0,0,0.000000,0
Cancel_traversal,30058,4960514,23896787,165.031406,38.515690,1160,0.038592,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4748923,23843596,157.991982,36.872801,4618,0.153636,0,0,0,0,0.000000,0
Reduce_traversal,30058,2241766,8814469,74.581343,17.406092,7653,0.254608,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2391090,8850577,79.549205,18.565512,7422,0.246923,0,0,0,0,0.000000,0
Replace_traversal,30058,14846925,44160591,493.942544,115.278287,10804,0.359438,0,0,0,0,0.000000,0
Replace_shuffled,30058,14426494,42042530,479.955220,112.013869,9644,0.320846,0,0,0,0,0.000000,0
