variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2740347,8109194,306.15,68.9705,0
Add_widened,8951,5274618,12753815,589.277,132.754,0
Cancel_traversal,30058,7457538,36866584,248.105,55.894,0
Cancel_shuffled,30058,7563188,36915555,251.62,56.6858,0
Reduce_traversal,30058,2341130,9091626,77.8871,17.5467,0
Reduce_shuffled,30058,2501081,9127814,83.2085,18.7455,0
Replace_traversal,30058,21105516,70011962,702.16,158.185,0
Replace_shuffled,30058,20469376,69238980,680.996,153.417,0
