variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1681838,4772656,187.893867,44.243608,11375,1.270808,0,0,0,0,0.000000,0
Add_widened,8951,2540347,6207545,283.805943,66.828147,22854,2.553234,0,0,0,0,0.000000,0
Cancel_traversal,30058,5006361,23894026,166.556690,39.219316,725,0.024120,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4726933,23843310,157.260397,37.030306,2372,0.078914,0,0,0,0,0.000000,0
Reduce_traversal,30058,2254467,8821089,75.003892,17.661262,2803,0.093253,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2342222,8851909,77.923415,18.348726,2707,0.090059,0,0,0,0,0.000000,0
Replace_traversal,30058,14863340,44155317,494.488655,116.437873,6845,0.227726,0,0,0,0,0.000000,0
Replace_shuffled,30058,14502033,42042355,482.468328,113.607431,7011,0.233249,0,0,0,0,0.000000,0
