variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2302109,7928040,257.190146,59.592963,21141,2.361859,0,0,0,0,0.000000,0
Add_widened,8951,3681410,9432703,411.284773,95.297889,26410,2.950508,0,0,0,0,0.000000,0
Cancel_traversal,30058,5681708,25471885,189.024819,43.798525,3527,0.117340,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5403227,25410334,179.760031,41.651801,5327,0.177224,0,0,0,0,0.000000,0
Reduce_traversal,30058,2271465,8895835,75.569399,17.510019,4726,0.157229,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2558151,8935347,85.107159,19.719993,5298,0.176259,0,0,0,0,0.000000,0
Replace_traversal,30058,16417765,48970149,546.202841,126.559458,18194,0.605296,0,0,0,0,0.000000,0
Replace_shuffled,30058,15895224,45863052,528.818418,122.531351,24338,0.809701,0,0,0,0,0.000000,0
