variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1635140,4959184,182.676796,43.315644,11267,1.258742,240,84,908,288,0.101441,0
Add_widened,8951,2554172,6406302,285.350464,67.661243,22573,2.521841,2754,390,1388,220,0.155066,0
Cancel_traversal,30058,5080429,23819061,169.020860,40.077599,862,0.028678,0,24860,0,3860,0.000000,0
Cancel_shuffled,30058,5132233,24168370,170.744328,40.486262,1377,0.045811,0,24860,0,3860,0.000000,0
Reduce_traversal,30058,2310731,8927362,76.875740,18.228490,1830,0.060882,0,5,0,1,0.000000,0
Reduce_shuffled,30058,2493234,8963466,82.947435,19.668188,1766,0.058753,0,5,0,1,0.000000,0
Replace_traversal,30058,14714731,45359631,489.544580,116.078995,4348,0.144654,21812,23526,3312,4503,0.110187,0
Replace_shuffled,30058,14456849,43210667,480.965101,114.044660,3502,0.116508,21398,22211,3131,3515,0.104165,0
