variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2658522,9407165,297.008379,70.802893,17469,1.951626,0,0,0,0,0.000000,0
Add_widened,8951,2779744,6939924,310.551223,74.031329,23720,2.649983,0,0,0,0,0.000000,0
Cancel_traversal,30058,4993884,24034934,166.141593,39.605971,721,0.023987,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4799661,23989778,159.679985,38.065609,3408,0.113381,0,0,0,0,0.000000,0
Reduce_traversal,30058,2342397,9124069,77.929237,18.577305,5560,0.184976,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2523375,9160114,83.950196,20.012623,5975,0.198782,0,0,0,0,0.000000,0
Replace_traversal,30058,15040903,44612253,500.396001,119.287828,11880,0.395236,0,0,0,0,0.000000,0
Replace_shuffled,30058,14749004,42528417,490.684809,116.972807,13362,0.444541,0,0,0,0,0.000000,0
