variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2438518,8100201,272.43,61.6149,0
Add_widened,8951,4908330,12681918,548.355,124.021,0
Cancel_traversal,30058,7305668,36300519,243.052,54.9707,0
Cancel_shuffled,30058,7185707,36182824,239.061,54.0681,0
Reduce_traversal,30058,2414605,9203897,80.3315,18.1684,0
Reduce_shuffled,30058,2498975,9234969,83.1384,18.8033,0
Replace_traversal,30058,19178804,67198692,638.06,144.309,0
Replace_shuffled,30058,18499864,66639909,615.472,139.2,0
