variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2316438,7944884,258.790973,61.912249,20783,2.321863,0,0,0,0,0.000000,0
Add_widened,8951,3674336,9398774,410.494470,98.205264,26187,2.925595,0,0,0,0,0.000000,0
Cancel_traversal,30058,5310750,25461289,176.683412,42.269123,4071,0.135438,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5097379,25405875,169.584769,40.570868,6205,0.206434,0,0,0,0,0.000000,0
Reduce_traversal,30058,2267823,8895946,75.448233,18.049972,2340,0.077849,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2452282,8932106,81.585002,19.518111,2299,0.076485,0,0,0,0,0.000000,0
Replace_traversal,30058,16047200,48973352,533.874509,127.722274,19962,0.664116,0,0,0,0,0.000000,0
Replace_shuffled,30058,15519452,45862231,516.316854,123.521842,27032,0.899328,0,0,0,0,0.000000,0
