variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2331788,8004129,260.505865,61.581549,20954,2.340967,0,0,0,0,0.000000,0
Add_widened,8951,3503836,9291418,391.446319,92.534848,25773,2.879343,0,0,0,0,0.000000,0
Cancel_traversal,30058,5090731,25456726,169.363597,40.036229,5219,0.173631,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4925894,25406916,163.879633,38.739863,7274,0.241999,0,0,0,0,0.000000,0
Reduce_traversal,30058,2271069,8897197,75.556225,17.860900,3991,0.132777,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2482207,8936716,82.580578,19.521403,3221,0.107159,0,0,0,0,0.000000,0
Replace_traversal,30058,15799739,48917233,525.641726,124.257592,22253,0.740335,0,0,0,0,0.000000,0
Replace_shuffled,30058,15095481,45863124,502.211757,118.718931,26016,0.865527,0,0,0,0,0.000000,0
