variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2371794,8091374,264.975310,60.946943,21518,2.403977,0,0,0,0,0.000000,0
Add_widened,8951,3543047,9232651,395.826947,91.044114,25477,2.846274,0,0,0,0,0.000000,0
Cancel_traversal,30058,5160041,25462318,171.669472,39.485677,4779,0.158993,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4998936,25407267,166.309668,38.252869,6465,0.215084,0,0,0,0,0.000000,0
Reduce_traversal,30058,2293331,8896040,76.296859,17.549033,7228,0.240468,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2455264,8932221,81.684211,18.788177,4961,0.165048,0,0,0,0,0.000000,0
Replace_traversal,30058,15935706,48980694,530.165214,121.943245,23358,0.777098,0,0,0,0,0.000000,0
Replace_shuffled,30058,15279671,45867014,508.339577,116.923132,26589,0.884590,0,0,0,0,0.000000,0
