variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2354757,7942462,263.071947,60.633236,20621,2.303765,0,0,0,0,0.000000,0
Add_widened,8951,3741280,9419509,417.973411,96.335169,25230,2.818679,0,0,0,0,0.000000,0
Cancel_traversal,30058,5155930,25463917,171.532703,39.535127,3405,0.113281,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4996750,25409921,166.236942,38.314552,5119,0.170304,0,0,0,0,0.000000,0
Reduce_traversal,30058,2314801,8903816,77.011145,17.749650,4124,0.137201,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2519097,8936808,83.807871,19.316170,5259,0.174962,0,0,0,0,0.000000,0
Replace_traversal,30058,16333630,48988419,543.403753,125.244552,16314,0.542751,0,0,0,0,0.000000,0
Replace_shuffled,30058,15758379,45862847,524.265720,120.833588,24339,0.809735,0,0,0,0,0.000000,0
