variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1580527,4767118,176.575466,41.521727,10907,1.218523,0,0,0,0,0.000000,0
Add_widened,8951,2421304,6161450,270.506536,63.609622,22812,2.548542,0,0,0,0,0.000000,0
Cancel_traversal,30058,4914644,23892472,163.505356,38.448291,593,0.019729,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4682791,23841112,155.791836,36.634456,3072,0.102202,0,0,0,0,0.000000,0
Reduce_traversal,30058,2128131,8813603,70.800818,16.648815,2078,0.069133,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2287074,8849689,76.088695,17.892259,2197,0.073092,0,0,0,0,0.000000,0
Replace_traversal,30058,14735336,44153255,490.230088,115.277623,6950,0.231220,0,0,0,0,0.000000,0
Replace_shuffled,30058,14343961,42047728,477.209428,112.215815,6829,0.227194,0,0,0,0,0.000000,0
