variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2237359,7942719,249.956318,59.431893,21313,2.381075,0,0,0,0,0.000000,0
Add_widened,8951,3618621,9401617,404.270026,96.122927,25406,2.838342,0,0,0,0,0.000000,0
Cancel_traversal,30058,5199900,25457782,172.995542,41.132997,5104,0.169805,0,0,0,0,0.000000,0
Cancel_shuffled,30058,5094834,25405272,169.500100,40.301889,10458,0.347927,0,0,0,0,0.000000,0
Reduce_traversal,30058,2282879,8895447,75.949132,18.058358,6157,0.204837,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2508068,8931610,83.440948,19.839680,7746,0.257702,0,0,0,0,0.000000,0
Replace_traversal,30058,15861239,48903301,527.687770,125.467856,21392,0.711691,0,0,0,0,0.000000,0
Replace_shuffled,30058,15370872,45866595,511.373744,121.588884,31532,1.049039,0,0,0,0,0.000000,0
