variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2417130,7913422,270.04,129.333,0
Add_widened,8951,5350675,12429504,597.774,286.299,0
Cancel_traversal,30058,7703363,36310684,256.283,122.745,0
Cancel_shuffled,30058,7898475,36192397,262.774,125.854,0
Reduce_traversal,30058,2489509,9211195,82.8235,39.6676,0
Reduce_shuffled,30058,2529938,9235528,84.1685,40.3118,0
Replace_traversal,30058,19371088,67231336,644.457,308.657,0
Replace_shuffled,30058,18631043,66661545,619.836,296.865,0
