variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,2327756,8116275,260.055413,61.230849,20867,2.331248,240,84,205,82,0.022902,0
Add_widened,8951,3732234,9666853,416.962797,98.175177,26244,2.931963,2754,390,1151,174,0.128589,0
Cancel_traversal,30058,5507463,25979584,183.227859,43.141565,4022,0.133808,0,24860,0,3860,0.000000,0
Cancel_shuffled,30058,5371822,25952301,178.715217,42.079049,7862,0.261561,0,24860,0,3860,0.000000,1
Reduce_traversal,30058,2375599,8917378,79.033835,18.608760,3790,0.126090,0,5,0,1,0.000000,0
Reduce_shuffled,30058,2481784,8953588,82.566505,19.440538,3930,0.130747,0,5,0,1,0.000000,0
Replace_traversal,30058,16053483,50334675,534.083538,125.751617,18801,0.625491,21812,23526,3312,4503,0.110187,0
Replace_shuffled,30058,15327558,47131215,509.932730,120.065235,28220,0.938852,21398,22211,3131,3515,0.104165,0
