variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,migrated
Add_real,8951,2346038,7889593,262.098,125.526,0
Add_widened,8951,5132680,12340329,573.42,274.627,0
Cancel_traversal,30058,7566255,36296539,251.722,120.557,0
Cancel_shuffled,30058,7697032,36194612,256.073,122.64,0
Reduce_traversal,30058,2447557,9204598,81.4278,38.9981,0
Reduce_shuffled,30058,2541827,9240741,84.5641,40.5001,0
Replace_traversal,30058,19274450,67137677,641.242,307.109,0
Replace_shuffled,30058,18665623,66673845,620.987,297.408,0
