variant,ops,cycles,instructions,mean_cycles_per_op,mean_ns_per_op,l1d_cache_refills,mean_l1d_refills_per_op,level_creates,level_destroys,order_storage_allocs,order_storage_frees,mean_storage_allocs_per_op,migrated
Add_real,8951,1628775,4769462,181.965702,42.338371,11007,1.229695,0,0,0,0,0.000000,0
Add_widened,8951,2611593,6312431,291.765501,67.885739,22608,2.525751,0,0,0,0,0.000000,0
Cancel_traversal,30058,4968178,23892067,165.286380,38.457556,1185,0.039424,0,0,0,0,0.000000,0
Cancel_shuffled,30058,4727676,23841194,157.285115,36.595883,2871,0.095515,0,0,0,0,0.000000,0
Reduce_traversal,30058,2171110,8813789,72.230687,16.806077,2577,0.085734,0,0,0,0,0.000000,0
Reduce_shuffled,30058,2303579,8849905,76.637800,17.831490,2112,0.070264,0,0,0,0,0.000000,0
Replace_traversal,30058,15264998,44173958,507.851421,118.162938,11390,0.378934,0,0,0,0,0.000000,1
Replace_shuffled,30058,14656341,42040627,487.602003,113.451460,9658,0.321312,0,0,0,0,0.000000,0
